user,time,,checkin_checkout,,
25,2/7/2022 12:48,1,0,1,0
6,2/7/2022 12:50,1,0,1,0
12,2/7/2022 12:52,1,0,1,0
11,2/7/2022 13:17,1,1,1,0
17,2/7/2022 13:22,1,0,1,0
19,2/7/2022 13:24,1,0,1,0
4,2/7/2022 13:42,1,0,1,0
5,2/7/2022 13:50,1,0,1,0
27,2/7/2022 13:53,1,0,1,0
13,2/7/2022 14:11,1,0,1,0
13,2/7/2022 20:12,1,1,1,0
17,2/7/2022 20:16,1,1,1,0
200,2/7/2022 20:23,1,1,1,0
11,2/7/2022 20:23,1,1,1,0
19,2/7/2022 20:24,1,1,1,0
12,2/7/2022 20:26,1,1,1,0
1,2/7/2022 20:36,1,1,1,0
10,2/7/2022 20:36,1,1,1,0
7,2/7/2022 20:37,1,1,1,0
3,2/7/2022 20:38,1,1,1,0
4,2/7/2022 20:42,1,1,1,0
6,2/7/2022 20:42,1,1,1,0
28,2/7/2022 20:42,1,1,1,0
20,2/7/2022 20:46,1,1,1,0
18,2/7/2022 20:46,1,1,1,0
5,2/7/2022 20:46,1,1,1,0
14,2/7/2022 20:46,1,1,1,0
9,2/7/2022 20:53,1,1,1,0
27,2/7/2022 21:06,1,1,1,0
8,2/7/2022 23:50,1,1,1,0
11,2/8/2022 11:04,1,0,1,0
8,2/8/2022 11:15,1,0,1,0
18,2/8/2022 11:51,1,0,1,0
20,2/8/2022 11:51,1,0,1,0
25,2/8/2022 11:55,1,0,1,0
1,2/8/2022 12:38,1,0,1,0
10,2/8/2022 12:38,1,0,1,0
28,2/8/2022 12:38,1,0,1,0
12,2/8/2022 13:07,1,0,1,0
6,2/8/2022 13:10,1,0,1,0
9,2/8/2022 13:10,1,0,1,0
14,2/8/2022 13:11,1,0,1,0
17,2/8/2022 13:22,1,0,1,0
3,2/8/2022 13:22,1,0,1,0
19,2/8/2022 13:35,1,0,1,0
200,2/8/2022 13:37,1,0,1,0
5,2/8/2022 13:42,1,0,1,0
27,2/8/2022 13:44,1,0,1,0
13,2/8/2022 13:53,1,0,1,0
7,2/8/2022 13:56,1,0,1,0
4,2/8/2022 14:00,1,0,1,0
29,2/8/2022 14:03,1,0,1,0
15,2/8/2022 15:38,1,0,1,0
13,2/8/2022 19:28,1,1,1,0
27,2/8/2022 20:47,1,1,1,0
200,2/8/2022 20:47,1,1,1,0
18,2/8/2022 20:48,1,1,1,0
4,2/8/2022 20:48,1,1,1,0
17,2/8/2022 20:48,1,1,1,0
20,2/8/2022 20:48,1,1,1,0
10,2/8/2022 20:48,1,1,1,0
5,2/8/2022 20:50,1,1,1,0
14,2/8/2022 20:50,1,1,1,0
